ITEM_PLAN;CTO_SIROPE;CTO_GIS_CMS;DIRECCION;NUMERO;TIPO;PISO;X;Y
19-2121500320;SSLLLFTK100733;;CA. LOS JAZMINES 372;;;;-79.03879256;-8.130934738
19-2121500319;SSLLLFTK100748;;CA. JUAN JULIO GANOZA 413;;;;-79.0399902;-8.130911952
19-2121500318;SSLLLFTK100721;;Los Algarrobos 418;;;;-79.04044684;-8.131998763
19-2121500316;SSLLLFTK101451;;Mz. K Lt. 3 - Galeno;;;;-79.03007702;-8.130105037
19-2121500315;LLLFTK101461;;UPAO II Mz. B lt. 17;;;;-79.03115225;-8.130166231
19-2121500314;SSMAU2TK102544;;jose galvez 235;;;;-77.06969758;-12.09172157
19-2121500313;SSLLLFTK100786;;Eucaliptos 355;;;;-79.0437846;-8.134185061
19-2121500312;SSLLLFTK100851;;CA. LOS TULIPANES 102;;;;-79.04072871;-8.133859914
19-2121500310;SSLLLFTK100772;;CA. LAS CHIRAS 255 B;;;;-79.04216365;-8.130272544
19-2121500307;SSLLLFTK100781;;JR. LOS EUCALIPTOS 303;;;;-79.04386723;-8.134142995
19-2121500305;LLTRG0101021;;CA. PARAGUAY 126;;;;-79.03101738876 -;8.11815611
19-2121500302;LLLFD0501331;;CA. LOS CAPULIES MZ B LT 12;;;;-79.03462324;-8.137462432
19-2121500301;LLLFTK300283;;CL. lOS COCOTERO 171;;;;-79.03461497;-8.139110196
19-2121500301;LLLFTK300284;;CL. lOS COCOTERO 171;;;;-79.03461497;-8.139110196
19-2121500301;LLLFTK300285;;CL. lOS COCOTERO 171;;;;-79.03461497;-8.139110196
19-2121500301;LLLFTK300286;;CL. lOS COCOTERO 171;;;;-79.03461497;-8.139110196
19-2121500301;LLLFTK300287;;CL. lOS COCOTERO 171;;;;-79.03461497;-8.139110196
19-2121500299;MAD3001A61;;RIO MOCHE 368-370;;;0;-77.07293784;-12.07080103
19-2121500292;LLLFD0501316;;CA. EL PALMAR 379 - EL GOLF;;;;-79.03685292;-8.141152674
19-2121500291;SSLLLFTK100861;;URB. SAN JOSE DE CALIFORNIA C 5-6;;;;-79.04045485;-8.135205414
19-2121500290;LLLFTK100873;;URB. LAS HORTENCIAS DE CALIFORNIA MZ. A;;;;-79.03771154;-8.135500889
19-2121500289;LLLFTK100878;;URB. LAS HORTENCIAS DE CALIFORNIA  MZ B;;;;-79.03859525;-8.135245163
19-2121500287;LLLFTK100863;;URB. SAN JOSE DE CALIFORNIA A 15;;;;-79.04074658;-8.135329369
19-2121500286;LLLFTK100876;;HORTENCIAS DE CALIFORNIA MZ A  LT 14;;;;-79.03761817;-8.135331104
19-2121500286;LLLFTK100877;;HORTENCIAS DE CALIFORNIA MZ A  LT 14;;;;-79.03761817;-8.135331104
19-2121500283;LLLFD0501381;;CA. LOS SAUCES 395;;;6;-79.042249;-8.136492743
19-2121500283;LLLFD0501382;;CA. LOS SAUCES 395;;;6;-79.042249;-8.136492743
19-2121500280;MAG0101434;;Rokovich 174-176;;;4;-77.06229536;-12.09765726
19-2121500280;MAG0101435;;Rokovich 174-176;;;1;-77.06229536;-12.09765726
19-2121500279;SSMAG0101431;;Rokovich 151-153- EDIFICIO A;;;1;-77.06244269;-12.09735931
19-2121500279;SSMAG0101432;;Rokovich 151-153-EDIFICIO B;;;4;-77.06244269;-12.09735931
19-2121500279;SSMAG0101433;;Rokovich 151-153-EDIFICIO B;;;1;-77.06244269;-12.09735931
19-2121500277;LLTRG0101081;;JR. FRANCISCO SOLANO 313;;;1;-79.03589193;-8.11550321
19-2121500276;LLTRG0100981;;CA. CANADA 277;;;5;-79.03103749;-8.119869317
19-2121500276;LLTRG0100982;;CA. CANADA 277;;;1;-79.03103749;-8.119869317
19-2121500274;SSLLLFTK100852;;CA. LOS TULIPANES 101;;;;-79.04077554;-8.133980927
19-2121500272;LLLFTK100837;;JR. LAS BEGONIAS 236;;;;-79.04325977;-8.132416865
19-2121500270;LLLFTK100864;;URB. SAN JOSE DE CALIFORNIA MZ. E LT.9;;;;-79.03935485;-8.135974083
19-2121500269;LLTRG0100878;;AV. COSTA RICA URB. MONSERRATE G2 1;;;;-79.03003259;-8.125285394
19-2121500268;LLTRG0101073;;CA. SAN MARTIN DE PORRES 184;;;;-79.03665929;-8.119914982
19-2121500263;LLLFG0100281;;URB. LOS ROSALES MZ K5 LT 10;;;;-79.04296342;-8.123198256
19-2121500263;LLLFG0100282;;URB. LOS ROSALES MZ K5 LT 10;;;;-79.04296342;-8.123198256
19-2121500263;LLLFG0100283;;URB. LOS ROSALES MZ K5 LT 10;;;;-79.04296342;-8.123198256
19-2121500258;SSLLLFTK100751;;Las Hortencias 463;;;;-79.04032063;-8.129749017
19-2121500249;LLLFG0100284;;RESIDENCIAL LAS MARGARITA 350;;;;-79.04276036;-8.124406658
19-2121500249;LLLFG0100285;;RESIDENCIAL LAS MARGARITA 350;;;;-79.04276036;-8.124406658
19-2121500240;LLLFTK300271;;CL. LAS AZUCENAS 210;;;;-79.03014431;-8.139765219
19-2121500239;SSLLLFTK100862;;CALIFORNIA C-4;;;;-79.04012172;-8.135091136
19-2121500238;LLLFTK300253;;AV. LAS PALMAS  MZ. E LOTE 21;;;5;-79.02929286;-8.142582219
19-2121500238;LLLFTK300254;;AV. LAS PALMAS  MZ. E LOTE 21;;;1;-79.02929286;-8.142582219
19-2121500232;LLTRG0101061;;CA.SAN MARTIN DE PORRES 265;;;;-79.03794386;-8.119308146
19-2121500231;LLLFTK100737;;CL. JUAN JULIO GANOZA 545;;;;-79.03868754;-8.131570751
19-2121500226;LLLFTK100765;;CA.LOS GERANIOS 251;;;;-79.04182231;-8.130572838
19-2121500222;SSLLLFTK100742;;Ca. Los Laureles 579;;;;-79.03919225;-8.129182466
19-2121500221;SSLLLFTK100731;;Los Jazmines 404-408;;;;-79.03869901;-8.13064715
19-2121500219;SSLLLFTK100734;;Los Jazmines 461-465;;;;-79.03871165;-8.13000555
